label,sentence,syntax
SC,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,product shall be able handle concurrent users within years of initial launch 
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,Only adjusters can request recycled parts audit reports users without adjuster role shall request recycled parts audits 
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,Only adjusters with supervisor role can update preferred repair facility ratings Users without supervisor role can not access repair facility ratings 
SE,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,Only collision estimators shall search for recycled parts Users without collision estimator role shall not have access search for recycled parts 
SE,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,Only valid data shall be entered into system invalid data shall be entered into system 
SE,One insurance company shall not be able to view another insurance companys claim data.,insurance company shall not be able view insurance companys claim data 
SE,The product shall free of computer viruses.,product shall free of computer viruses 
SE,The system shall prevent malicious attacks including denial of service.,system shall prevent malicious attacks including denial of service 
L,The product must comply with Sarbanes-Oxley.,product must comply with Sarbanes-Oxley 
L,The product shall comply with the estimatics laws relating to recycled parts usage.,product shall comply with estimatics laws relating recycled parts usage 
L,The product shall comply with insurance regulations regarding claims processing.,product shall comply with insurance regulations regarding claims processing 
F,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,user shall search for preferred repair facility using vehicle vehicle location radius in miles 
F,The vehicle data shall include vehicle year make and model,vehicle data shall include vehicle year make model 
F,The vehicle location shall include street address city state and zipcode,vehicle location shall include street address city state zipcode 
F,The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,system shall resolve zipcode for street address city state if zipcode is unknown 
F,The search radius shall be between 1 and 30 miles,search radius shall be between miles 
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,system shall locate preferred repair facility with highest ratings for input criteria 
F,The adjuster shall enter the preferred repair facility on the estimate assignment.,adjuster shall enter preferred repair facility on estimate assignment 
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,adjuster shall be able override preferred repair facitlity on estimate assignment 
F,The preferred repair facility shall be returned to the user.,preferred repair facility shall be returned user 
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,system shall return list of repair facilities within radius if preferred repair facility can not be determined 
F,The estimator shall search for available recycled parts using damaged vehicle parts information.,estimator shall search for available recycled parts using damaged vehicle parts information 
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,estimator shall search for available recycled parts using list of preferred parts suppliers 
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,system shall search for available recycled parts for supplied vehicle parts suppliers 
F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,estimator shall search by zipcode with radius of miles if parts are found for preferred parts suppliers 
F,The system shall retain the available recycled parts and suppliers returned from the search.,system shall retain available recycled parts suppliers returned from search 
F,The available recycled parts information and their suppliers shall be returned to the user.,available recycled parts information suppliers shall be returned user 
F,The estimator shall apply selected recycled parts to the collision estimate.,estimator shall apply selected recycled parts collision estimate 
F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,estimator shall not apply recycled parts collision estimate if available parts are returned 
F,The adjuster shall review the collision estimate.,adjuster shall review collision estimate 
F,The adjuster shall request a recycled parts audit of the collision estimate.,adjuster shall request recycled parts audit of collision estimate 
F,The recycled parts search results provided to the estimator shall be retrieved by the system.,recycled parts search results provided estimator shall be retrieved by system 
F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,system shall generate audit report based on available recycled parts collision estimate 
F,The audit report shall include the total number of recycled parts used in the estimate.,audit report shall include total number of recycled parts used in estimate 
F,The audit report shall include the number of available recycled parts from the original search results.,audit report shall include number of available recycled parts from original search results 
F,The audit report shall include the percentage of available recycled parts used in the estimate ,audit report shall include percentage of available recycled parts used in estimate 
F,The audit report shall include the total score of the audit which sums the indivual line items.,audit report shall include total score of audit sums indivual line items 
F,The audit report shall be displayed to the user.,audit report shall be displayed user 
F,The audit report shall be available to other adjusters at later points in time.,audit report shall be available other adjusters at later points in time 
F,The user shall select to view the preferred repair facility ratings.,user shall select view preferred repair facility ratings 
F,The current repair facility ratings shall be displayed to the user.,current repair facility ratings shall be displayed user 
F,The system will display a blank set of ratings if there are not ratings yet defined.,system will display blank set of ratings if are not ratings yet defined 
F,The user shall enter new ratings based on the audit report,user shall enter new ratings based on audit report 
F,The ratings shall be from a scale of 1-10,ratings shall be from scale of 1-10 
F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,ratings shall include categories for attempted use of recycled parts actual use of recycled parts 
F,The user shall select to save the preferred repair facility ratings.,user shall select save preferred repair facility ratings 
F,The preferred repair facility ratings shall be saved by the system.,preferred repair facility ratings shall be saved by system 
LF,The product’s Look and Feel shall be able to incorporate aspects of the customer’s organization such as logo branding and identity,product ’ s Look Feel shall be able incorporate aspects of customer ’ s organization such as logo branding identity 
LF,The product shall have a conservative and professional appearance.,product shall have conservative professional appearance 
US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,product shall make users want use % of users surveyed report are regularly using product after first weeks post-launch 
US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,product shall be easy use % of users will be able successfully reserve conference room within minutes of product use 
US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,product shall give users feedback necessary % of users surveyed report that product accurately confirms actions 
US,The product shall allow the user to select a chosen language from one of the target market countries.,product shall allow user select chosen language from of target market countries 
US,The product shall allow for customization of start page and views preferences.,product shall allow for customization of start page views preferences 
US,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,employee will be able successfully use product within few minutes After informally navigating product for less than minutes users shall be able successfully setup meetings reserve conference rooms 
US,The product shall use a standard navigation menu familiar to most web users.,product shall use standard navigation menu familiar most web users 
US,The product shall allow for intuitive searching of available conference rooms.,product shall allow for intuitive searching of available conference rooms 
US,The product shall conform to the Americans with Disabilities Act.,product shall conform Americans with Disabilities Act 
PE,The response shall be fast enough to avoid interrupting the user’s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,response shall be fast enough avoid interrupting user ’ s flow of thought % of tasks shall complete within seconds % of tasks shall complete within seconds 
A,Aside from server failure the software product shall achieve 99.99% up time.,Aside from server failure software product shall achieve % up time 
SC,The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,product shall be capable of handling concurrent requests number will increase by Release concurrency capacity must be able handle peak scheduling times such as early morning late afternoon hours 
SC,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,product shall be able process transactions per hour within years of launch number will increase by Release 
SC,The product shall be expected to operate for at least 5 years for each customer installation.,product shall be expected operate for at least years for customer installation 
US,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,new user must be able be added system within minutes % of new users are able log into system within minutes 
US,Every registered user will have access to the product’s support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,registered user will have access product ’ s support site via Internet % of registered users shall find solution problem within minutes of using support site 
US,The product shall be translated into foreign languages other than the target market countries’ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market’s language.,product shall be translated into foreign languages other than target market countries ’ languages in future releases For emerging target market shall take more than days configure product for market ’ s language 
SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,product shall ensure that only company employees external users with company-approved user IDs may have product access % of logons shall be by company employees external users with company-approved user IDs 
SE,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,Only managers are able perform search queries for reservations by user % of search queries for reservations by user shall be from logons of only management logons 
SE,The product shall ensure that the database’s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,product shall ensure that database ’ s data corresponds data entered by user conference room reservation in system will contain same information as was entered by user 
SE,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product.,product shall prevent input of malicious data product and/or adjacent hardware/software systems ’ data shall remain % uncorrupted time malicious data is input into product 
SE,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,product shall have ability receive automatic software updates as new threats emerge % of customers will be able receive automatic software updates transmitted installed product 
SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,language of product shall accommodate of target market countries % of survey respondents from target market country will find that language of product is acceptable 
US,The product shall be able to display calendar dates and times according to the user’s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,product shall be able display calendar dates times according user ’ s locale % of survey respondents from target market country will find that date time formatting of product is correct 
F,The product shall record meeting entries.,product shall record meeting entries 
F,The product will notify employees of meeting invitations.,product will notify employees of meeting invitations 
F,The product shall have the ability to send meeting reminders to employees.,product shall have ability send meeting reminders employees 
F,The product shall assign the organizers contact information to each meeting they create.,product shall assign organizers contact information meeting create 
F,The product will record meeting acknowledgements.,product will record meeting acknowledgements 
F,The product shall store new conference rooms.,product shall store new conference rooms 
F,The product shall update existing conference rooms.,product shall update existing conference rooms 
F,The product will be able to delete conference rooms.,product will be able delete conference rooms 
F,The product shall be able to store new room equipment.,product shall be able store new room equipment 
F,The product will update existing room equipment.,product will update existing room equipment 
F,The product shall be able to delete room equipment.,product shall be able delete room equipment 
F,The product shall allow an organizer to invite other employees to meetings.,product shall allow organizer invite other employees meetings 
F,Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,time conference room is reserved conference room schedule shall be updated reflect time date of reservation 
F,The product shall record the transportation status of equipment reserved.,product shall record transportation status of equipment reserved 
F,The product shall display a map of the company building showing conference room locations.,product shall display map of company building showing conference room locations 
F,The product shall record updated meeting agendas.,product shall record updated meeting agendas 
F,The product shall send a meeting confirmation to the meeting organizer.,product shall send meeting confirmation meeting organizer 
F,The product shall display room equipment according to search parameters.,product shall display room equipment according search parameters 
F,The product shall display conference rooms according to search parameters.,product shall display conference rooms according search parameters 
F,The product shall record different meeting types.,product shall record different meeting types 
F,The product shall record all the equipment that has been reserved.,product shall record equipment has been reserved 
F,The product shall notify building personnel of equipment transport requests.,product shall notify building personnel of equipment transport requests 
F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,product will allow priviledged users view meeting schedules in multiple reporting views 
F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,product shall be able send meeting notifications via different kinds of end-user specified methods 
F,The product shall have a customizable Look and Feel.,product shall have customizable Look Feel 
F,The product shall have an intuitive user interface.,product shall have intuitive user interface 
F,The product will display an available status for unreserved conference rooms.,product will display available status for unreserved conference rooms 
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,Recreation of Inventory Quantity Adjustment for period of previous days shall take more than 
PE,The System shall allow for a minimum of 6 users to work at the same time.,System shall allow for minimum of users work at same time 
SE,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,System shall maintain consistent security changes in user passwords and/or permissions should take affect in parts of System 
SE,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,System shall granularly control access rights major subsystems should be possible assign access rights subsystems independently 
L,The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,System shall meet applicable accounting standards final version of System must successfully pass independent audit performed by certified auditor 
F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,System shall allow generation of Inventory Quantity Adjustment documents on demand 
F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,System shall allow on demand generation of Inventory Quantity Adjustment documents since certain point of time 
F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,IQA subsystem shall take into account current inventory status adjust inventory of substitutionary ingredients accordingly 
F,The System shall allow entering storing and modifying product formulas.,System shall allow entering storing modifying product formulas 
F,Product formulas shall allow use of semi-products which have own formulas.,Product formulas shall allow use of semi-products have own formulas 
F,Product formula ingredients shall allow defining substitutionary ingredients.,Product formula ingredients shall allow defining substitutionary ingredients 
F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,Product formula substitutionary ingredients shall be entered automatically by PFE subsystem 
F,Formula substitutionary ingredients shall be kept in persisted order,Formula substitutionary ingredients shall be kept in persisted order 
F,Product shall allow entering storing and modifying product menus used by POS terminals.,Product shall allow entering storing modifying product menus used by POS terminals 
F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,PME Subsystem shall allow building product menus based on list of products kept in accounting system 
F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,PME Subsystem shall allow keeping submenus within menus products within submenus in managed persisted order 
F,PME Subsystem shall allow for a product to exist in more than one submenu,PME Subsystem shall allow for product exist in more than submenu 
F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,RMS System shall have Windows XP look feel use GUI futures making use intuitive 
F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,System shall generate Inventory Quantity Adjustment document based on product daily sales data product formulas 
F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,System shall generate Inventory Quantity Adjustment document automatically daily Product Sales data is available 
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,Administrator shall be able activate pre-paid card via Administration section in under seconds 
PE,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,Customer shall be able check status of prepaid card by entering in PIN number in under seconds 
PE,System shall let customers register on the website as a “pay as you go” user in under 5 minutes.,System shall let customers register on website as “ pay as go ” user in under minutes 
PE,System shall let customers register on the website as a “unlimited movie subscriber” user in under 10 minutes.,System shall let customers register on website as “ unlimited movie subscriber ” user in under minutes 
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,System shall let existing customers log into website with email address password in under seconds 
PE,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,System shall let customers cancel account process shall take no longer than minutes Database will mark account as inactive user will not be able log into website 
PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,System shall let administrator de-activate customer account in under minute Customer will no longer be able access website 
PE,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,System shall let administrator add/remove movies on website in under minutes Entered movie information will be stored in database will now be available on website 
PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,System shall let administrator add/remove categories on website in under minutes 
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,System shall let Izogn Manager access sales usage statistics in under minutes 
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,System shall let administrators generate unique pre-paid pins in under minutes generate Excel file with generated PINs 
LF,The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,website shall be attractive audiences website shall appear be fun colors should be bright vibrant 
LF,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,website should have African feel should not alienate non-Africans website should use animation on pages are describing services grab users attention encourage sign 
LF,The website design should be modern clean and concise.,website design should be modern clean concise 
US,The product should be able to be used by 90% of novice users on the Internet.,product should be able be used by % of novice users on Internet 
US,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,Users should only have navigate through maximum of pages create account with website 
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,Users should be able access streaming movies in under clicks after logging into website 
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,anonymous survey will show that % of customers are comfortable purchasing streaming movies after weeks using website 
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,anonymous survey will show that % of customers are comfortable using purchasing pre-paid cards after month of using system 
US,The product shall retain the customer’s buying preferences and information.,product shall retain customer ’ s buying preferences information 
US,The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,product shall be easy for customers with novice skills on Internet purchase watch streaming movies Customers should be able purchase watch pre-determined movie in under minutes 
US,The product shall use symbols and words that are naturally understandable by users familiar with websites,product shall use symbols words are naturally understandable by users familiar with websites 
US,The website will use standard Internet conventions when interacting with the user.,website will use standard Internet conventions interacting with user 
PE,Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,interface between user automated system shall have maximum response time of seconds unless noted by exception below 
PE,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,purchasing streaming movie pre-paid card via credit card processing time should have maximum response time of seconds 
PE,When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user’s connection.),streaming movie buffering time should take no longer than seconds latency on user ’ s connection 
PE,While streaming a movie buffering should only occur if there is latency in the user’s connection.,While streaming movie buffering should only occur if is latency in user ’ s connection 
SE,All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,credit card information will be secured on server only accessible by authorized Izogn administrators Information will be encrypted in database 
A,The website shall be available for use 24 hours per day 365 days per year.,website shall be available for use hours per day days per year 
A,The website shall achieve 99.5% up time.,website shall achieve % up time 
A,All movies shall be streamed on demand at any time of the day.,movies shall be streamed on demand at time of day 
SC,The streaming server will support 50 simultaneous streaming connections.,streaming server will support simultaneous streaming connections 
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,streaming server will support maximum of movies new servers can be added support more movies 
SC,The server will support a maximum of 1 000 simultaneous users.,server will support maximum of simultaneous users 
SC,The website shall be capable of supporting 100 000 customers.,website shall be capable of supporting customers 
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,Izogn Administrator must be able update category listings on website within minutes 
PE,Izogn Administrator must be able to add new products to the website within 2 minutes.,Izogn Administrator must be able add new products website within minutes 
A,The system will provide a 24 hour 800 toll free number for support to its customers.,system will provide hour toll free number for support customers 
US,The website will provide a help section with answers and solutions to common problems.,website will provide help section with answers solutions common problems 
A,Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,Velkat staff will be available for phone support between 7am-7pm M-F provide technical support Izogn administrators 
SE,Only registered customers can purchase streaming movies.,Only registered customers can purchase streaming movies 
SE,A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,customer can only stream movie if purchased are within day viewing period 
SE,Only authorized personnel can access customer records in the database.,Only authorized personnel can access customer records in database 
SE,Only administrators can activate a pre-paid card.,Only administrators can activate pre-paid card 
SE,Only authorized personnel can access sales information.,Only authorized personnel can access sales information 
SE,The website shall prevent its data from being corrupted when incorrect data is entered in.,website shall prevent data from being corrupted incorrect data is entered in 
SE,The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,website shall protect from intentional abuse notify administrator at occurrences 
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,Data integrity scripts will be run on weekly basis verify integrity of database 
SE,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,website shall make user aware of information practices before collection data from via Privacy Policy accessible on pages of website 
SE,The system shall notify customers of changes to its information policy.,system shall notify customers of changes information policy 
SE,The system shall reveal private information only in compliance with the organization’s information policy.,system shall reveal private information only in compliance with organization ’ s information policy 
SE,All customer information will be stored on a secure database accessible only to authorized personnel.,customer information will be stored on secure database accessible only authorized personnel 
SE,All credit card information will be encrypted in the database.,credit card information will be encrypted in database 
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.,streaming server will have anti-virus software prevent infection of malicious viruses 
LF,The website should cater to all tribes in Nigeria.,website should cater tribes in Nigeria 
LF,The website shall not be offensive to religious or ethnic groups.,website shall not be offensive religious ethnic groups 
LF,The website should appeal to all Africans not only Nigerians.,website should appeal Africans not only Nigerians 
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,IzognMovies shall meet licensing requirements set forth by appropriate organizations in order stream African movies 
L,The website will comply with W3C standards.,website will comply with W3C standards 
L,The PHP code will comply with PEAR standards.,PHP code will comply with PEAR standards 
F,The website will allow customers to search for movies by title actor or director.,website will allow customers search for movies by title actor director 
F,viewing a movie details the website will display the movies description actor and director entered in by the administrator.,viewing movie details website will display movies description actor director entered in by administrator 
F,Website shall request and authorize credit card payment before allowing a user to stream a movie.,Website shall request authorize credit card payment before allowing user stream movie 
F,shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.,shall be able stream purchased movie via Windows Media Player for up days aftere purchase date 
F,Website shall allow customers to browse movies by categories entered in by izogn administrator.,Website shall allow customers browse movies by categories entered in by izogn administrator 
F,Website shall allow customers to view reviews of selected movies by other customers.,Website shall allow customers view reviews of selected movies by other customers 
F,Website shall allow customers to add their own movie review for a selected movie.,Website shall allow customers add own movie review for selected movie 
F,Website shall allow the Izogn administrator to approve a review posted by a customer.,Website shall allow Izogn administrator approve review posted by customer 
F,System will allow customers to pay for a streaming movie with a pre-paid card.,System will allow customers pay for streaming movie with pre-paid card 
F,Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,Website shall allow customers purchase pre-paid cards of value by credit card mail-in payment option 
F,System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,System shall automatically update main page of website Friday show latest movies have been added website 
F,System shall allow users to update their billing and contact information via the “My Account” section of the website.,System shall allow users update billing contact information via “ My Account ” section of website 
F,Pre-paid cards shall be distributed via email or via a printed paper card.,Pre-paid cards shall be distributed via email via printed paper card 
F,Only registered customers can purchase streaming movies.,Only registered customers can purchase streaming movies 
F,Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,Movies can only be streamed if customer has purchased movie is within 2-day time period stream movie 
F,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,Website must be able support free trial periods with various parameters set by Izogn Manager 
F,All streaming movie sales will be logged in the database and accessible by the administrator.,streaming movie sales will be logged in database accessible by administrator 
F,All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,registered customer information shall be stored maintained in database even after customer cancels account 
F,Daily usage statistics should be logged and accessible by the administrator.,Daily usage statistics should be logged accessible by administrator 
F,The owner shall have free access to all of the streaming movies.,owner shall have free access of streaming movies 
PE,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,Total lead cycle time must be completed in minutes for % of lead volume between business hours of CST CST then minutes for % of lead volume during business hours 
PE,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,lead evaluation will complete in time period longer than seconds for % of leads processed 
PE,For leads that process longer than 25 seconds the system will record the event and duration,For leads process longer than seconds system will record event duration 
PE,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,process must fit within processing time conditions set forth by Auto Rep Assignment process in lead is assigned within minutes of total life cycle 
A,Defect reports will be available to technical units on a 24x7 basis.,Defect reports will be available technical units on basis 
F,The vendor will verify the invalid lead.,vendor will verify invalid lead 
F,Vendor will submit a credit validation record to be applied to the enterprise billing system.,Vendor will submit credit validation record be applied enterprise billing system 
F,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,If lead is scored high range system will supply lead data score enterprise system 
F,The leads washing functionality will validate all leads received by the web service for valid data,leads washing functionality will validate leads received by web service for valid data 
F,The leads washing functionality will insert all leads captured by the web service.,leads washing functionality will insert leads captured by web service 
F,If the leads score falls within the high average score then it will be process by the ARA functionality.,If leads score falls within high average score then will be process by ARA functionality 
F,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,If leads score falls within medium average then will be set for manual verification by Enrollment Coordinator through eleads system 
F,If the leads score falls within the low average then it will be returned to the supplying vendor,If leads score falls within low average then will be returned supplying vendor 
F,The leads washing functionality will compile both contact and academic scoring information for a total score.,leads washing functionality will compile contact academic scoring information for total score 
F,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,leads washing functionality will use parameters supplied by corporate schools score part of lead 
F,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,leads washing functionality will return lead data supplied vendor along with reason of rejection 
F,The leads washing functionality will have an interface in which lead data parameters can be maintained.,leads washing functionality will have interface in lead data parameters can be maintained 
F,The leads washing functionality will verify the users authentication and rights to make parameter updates.,leads washing functionality will verify users authentication rights make parameter updates 
F,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,leads washing functionality will store potential lead duplicates returned by enterprise system 
F,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,Prior submitting lead enterprise system leads washing functionality will assign lead admissions rep 
F,The leads washing functionality shall receive a period list of available reps from the enterprise system.,leads washing functionality shall receive period list of available reps from enterprise system 
LF,The product shall simulate the look of ships at sea.,product shall simulate look of ships at sea 
LF,The product shall display the grids within a circle as a view from a periscope.,product shall display grids within circle as view from periscope 
LF,The product shall display each type of ship in a grid using an image of the specific type of ship.,product shall display type of ship in grid using image of specific type of ship 
LF,When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,offensive player takes shot product shall simulate sound of ship at sea 
LF,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,shot is marked as miss product shall simulate sound of shot missing target 
LF,When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.,shot is marked as hit product shall simulate sound of shot hitting target 
LF,When a ship is sunk the product shall simulate the sound of a sinking ship.,ship is sunk product shall simulate sound of sinking ship 
A,The product shall be available 24 hours per day seven days per week.,product shall be available hours per day days per week 
PE,The product shall able to handle a large number of games simultaneously.,product shall able handle large number of games simultaneously 
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,response time shall be fast enough maintain flow of game response time shall be no more than seconds for % of responses more than % for remaining responses 
PE,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,product shall protect identity of players product shall provide players access information might reveal identity of player 
US,The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,product shall be intuitive self-explanatory Nine ten users shall be able successfully complete game with training 
US,The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,product shall be available players who understand English Spanish French product shall allow user select language upon accessing product 
SE,The product shall provide players no access to information that might reveal the identity of another player,product shall provide players access information might reveal identity of player 
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,response time shall be fast enough maintain flow of game response time shall be no more than seconds for % of responses more than % for remaining responses 
F,The product shall maintain a list of players.,product shall maintain list of players 
F,The product shall allow a user to identify himself or herself as a player.,product shall allow user identify as player 
F,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,Once game has been initiated product shall make players assigned game unavailable for selection from list of players 
F,The product shall allow a user to remove himself or herself from the list of players at any time.,product shall allow user remove from list of players at time 
F,The product shall make inactive players unavailable for selection from the list of players.,product shall make inactive players unavailable for selection from list of players 
F,The product shall remove players who have been inactive for 24 hours from the list of players.,product shall remove players who have been inactive for hours from list of players 
F,The product shall allow a player to initiate a game by selecting another available player from the list of players.,product shall allow player initiate game by selecting available player from list of players 
F,Once a game is initiated the product shall display a defensive grid to each player,Once game is initiated product shall display defensive grid player 
F,Once a game is initiated the product shall display an offensive grid to each player.,Once game is initiated product shall display offensive grid player 
F,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,product shall prevent player from viewing offensive defensive grids of other player 
F,Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.,Once game is initiated product shall allow player position ships on respective defensive grids 
F,The product shall allow a player to position ships horizontally on their grid.,product shall allow player position ships horizontally on grid 
F,The product shall allow the player to position ships vertically on their grid.,product shall allow player position ships vertically on grid 
F,The product shall allow the player to position ships diagonally on their grid,product shall allow player position ships diagonally on grid 
